City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,Necochea,AR,-38.55,-58.74,66.99,60,4,33.33,clear sky
136,Uige,AO,-7.61,15.06,67.24,91,100,0.96,overcast clouds
137,Iqaluit,CA,63.75,-68.51,10.4,78,90,13.87,light snow
138,Comodoro Rivadavia,AR,-45.87,-67.5,64.4,52,20,10.29,few clouds
139,Longyearbyen,SJ,78.22,15.64,28.4,86,75,4.7,broken clouds
140,Elliot Lake,CA,46.38,-82.63,32.0,99,90,16.11,snow
141,Port Blair,IN,11.67,92.75,79.83,74,36,14.9,scattered clouds
142,Pandamatenga,BW,-18.53,25.63,74.08,55,47,3.65,scattered clouds
143,Bengkulu,ID,-3.8,102.27,76.12,87,98,4.29,moderate rain
144,Lyantonde,UG,-0.4,31.16,67.91,70,100,3.89,overcast clouds
145,Loanda,AO,-8.84,13.23,80.6,78,20,10.29,few clouds
146,Anamur,TR,36.08,32.84,55.4,82,0,4.7,clear sky
147,Parvatipuram,IN,18.78,83.43,63.91,78,0,2.98,clear sky
148,Bodden Town,KY,19.28,-81.25,82.99,65,75,18.34,broken clouds
149,Melfi,IT,41.0,15.65,42.01,93,90,9.17,fog
150,Iralaya,HN,15.0,-83.23,79.9,79,94,10.56,light rain
151,Miraflores,MX,19.22,-98.81,66.99,34,5,11.41,clear sky
152,Nawada,IN,24.88,85.53,55.4,87,0,2.89,mist
153,Kyshtovka,RU,56.55,76.63,-18.65,87,100,8.57,overcast clouds
154,Dakar,SN,14.69,-17.44,75.2,78,0,16.11,clear sky
155,Elliot,ZA,-31.33,27.85,63.81,93,95,5.26,moderate rain
156,Ilhabela,BR,-23.78,-45.36,83.61,67,16,6.04,few clouds
157,Flores,GT,16.92,-89.9,81.01,61,34,3.87,scattered clouds
158,Sao Felix Do Xingu,BR,-6.64,-51.99,89.4,54,88,4.07,overcast clouds
159,Natal,BR,-5.79,-35.21,87.8,66,40,17.22,scattered clouds
160,Coquimbo,CL,-29.95,-71.34,68.0,68,20,13.87,few clouds
161,Taoudenni,ML,22.68,-3.98,74.68,24,57,3.74,broken clouds
162,Arrifes,PT,37.77,-25.7,57.2,82,20,9.17,few clouds
163,Lagoa,PT,39.05,-27.98,58.77,75,100,16.08,overcast clouds
164,Mutata,CO,7.24,-76.44,84.33,63,36,3.36,light rain
165,Masallatah,LY,32.62,14.0,58.77,51,0,7.02,clear sky
166,Brus Laguna,HN,15.75,-84.48,78.01,91,96,2.37,moderate rain
167,Atar,MR,20.52,-13.05,82.53,20,4,9.31,clear sky
168,Novaya Zaimka,RU,56.49,66.92,-20.18,88,81,5.91,broken clouds
169,Novouzensk,RU,50.46,48.14,7.79,95,70,7.25,broken clouds
170,Sur,OM,22.57,59.53,68.22,52,0,6.11,clear sky
171,Port Elizabeth,ZA,-33.92,25.57,69.8,73,0,8.05,clear sky
172,Balkhash,KZ,46.84,74.98,1.62,90,0,5.86,clear sky
173,Osmanabad,IN,18.17,76.05,68.05,46,0,12.57,clear sky
174,Javanrud,IR,34.8,46.52,39.52,67,0,3.62,clear sky
175,Mehamn,NO,71.04,27.85,28.4,68,0,5.82,clear sky
176,Faya,SA,18.39,42.45,59.0,82,0,4.7,clear sky
177,Pitimbu,BR,-7.47,-34.81,87.8,55,40,11.41,scattered clouds
178,San Matias,BO,-16.37,-58.4,98.08,33,97,6.55,light rain
179,Gayny,RU,60.31,54.32,-2.65,92,98,4.56,overcast clouds
180,Cuenca,EC,-2.88,-78.98,66.2,59,75,3.36,light rain
181,Taltal,CL,-25.4,-70.48,73.54,54,11,9.48,few clouds
182,Yar-Sale,RU,66.83,70.83,-16.11,89,96,4.74,overcast clouds
183,Bonga,ET,7.28,36.23,66.97,58,84,0.43,broken clouds
184,Kirkwood,US,38.58,-90.41,39.0,86,90,11.41,light rain
185,Abu Samrah,SY,35.3,37.18,50.23,58,0,7.67,clear sky
186,Songea,TZ,-10.68,35.65,71.6,83,40,3.18,scattered clouds
187,Taloqan,AF,36.74,69.53,30.72,86,0,0.96,clear sky
188,Abong Mbang,CM,3.98,13.18,77.29,35,2,1.19,clear sky
189,Plettenberg Bay,ZA,-34.05,23.37,66.33,76,0,1.72,clear sky
190,Olavarria,AR,-36.89,-60.32,78.3,17,0,22.86,clear sky
191,Bengesti,RO,45.07,23.6,45.45,81,77,5.19,broken clouds
192,Chapais,CA,49.78,-74.85,10.4,85,90,11.41,overcast clouds
193,Victoria,HK,22.29,114.16,50.0,46,0,1.99,clear sky
194,Micheweni,TZ,-4.97,39.83,81.14,80,100,12.5,overcast clouds
195,Kruisfontein,ZA,-34.0,24.73,69.01,77,0,1.01,clear sky
196,Dekar,BW,-21.53,21.93,78.46,58,82,7.4,broken clouds
197,Chistogorskiy,RU,53.98,87.38,11.08,95,100,4.7,overcast clouds
198,Killybegs,IE,54.63,-8.45,41.0,93,40,2.24,light rain
199,Cap Malheureux,MU,-19.98,57.61,77.0,82,1,10.0,light rain
200,Suoyarvi,RU,62.08,32.35,32.88,97,100,8.97,light snow
201,Grammichele,IT,37.21,14.64,51.8,81,14,6.93,few clouds
202,Sergeyevka,KZ,53.88,67.42,-17.19,88,30,6.08,scattered clouds
203,Adrar,MR,20.5,-10.07,80.83,27,19,7.87,few clouds
204,Goderich,CA,43.75,-81.72,35.6,93,100,19.46,overcast clouds
205,Shar,KZ,49.59,81.05,5.97,94,100,6.4,overcast clouds
206,Channel-Port Aux Basques,CA,47.57,-59.14,24.94,94,98,31.88,overcast clouds
207,Saky,UA,45.14,33.6,51.44,59,64,6.51,broken clouds
208,Skjervoy,NO,70.03,20.97,32.0,78,0,18.34,light rain
209,Qandala,SO,11.47,49.87,74.39,69,19,11.68,few clouds
210,Hatillo,PR,18.49,-66.83,82.99,61,40,21.92,scattered clouds
211,Bucarasica,CO,8.04,-72.87,78.8,69,40,10.29,scattered clouds
212,Clyde River,CA,70.47,-68.59,-13.0,83,40,4.7,scattered clouds
213,Greece,US,43.21,-77.69,44.01,60,100,7.0,overcast clouds
214,Barmer,IN,25.75,71.38,52.77,39,32,11.3,scattered clouds
215,Mercedes,AR,-34.65,-59.43,90.59,10,71,20.89,broken clouds
216,Bonavista,CA,48.65,-53.11,26.6,68,81,11.41,broken clouds
217,Birin,NP,26.89,88.07,45.75,85,0,3.74,clear sky
218,Sholapur,IN,17.68,75.92,70.5,44,7,11.12,clear sky
219,Makurdi,NG,7.74,8.51,86.79,20,1,2.1,clear sky
220,Nouadhibou,MR,20.93,-17.03,68.0,77,0,14.99,clear sky
221,Carutapera,BR,-1.2,-46.02,88.03,52,23,8.95,few clouds
222,Cockburn Town,TC,21.46,-71.14,80.6,57,40,18.34,light rain
223,Ferzikovo,RU,54.52,36.76,30.2,92,90,8.95,overcast clouds
224,Sarande,AL,39.88,20.01,60.8,72,75,17.22,broken clouds
225,Lenger,KZ,42.18,69.88,19.4,92,90,2.24,fog
226,Chemin Grenier,MU,-20.49,57.47,77.0,88,40,13.87,shower rain
227,Ciego De Avila,CU,21.84,-78.76,81.48,57,37,15.21,scattered clouds
228,Lipin Bor,RU,60.26,37.98,28.24,98,96,9.17,overcast clouds
229,Geraldton,AU,-28.77,114.6,68.0,82,75,4.7,haze
230,Qasigiannguit,GL,68.82,-51.19,28.4,63,75,12.75,broken clouds
231,Baymak,RU,52.59,58.32,7.3,89,93,2.71,overcast clouds
232,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,86.43,56,97,3.94,overcast clouds
233,Puerto Madryn,AR,-42.77,-65.04,65.26,37,46,18.66,scattered clouds
234,Viedma,AR,-40.81,-63.0,66.99,35,52,13.0,broken clouds
235,Pedernales,DO,18.04,-71.74,87.8,74,20,5.82,few clouds
236,Namibe,AO,-15.2,12.15,71.31,78,84,8.61,broken clouds
