City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
255,Barranca,PE,74.59,overcast clouds,-10.75,-77.77,El Olivar Hospedaje
256,Saint-Joseph,RE,78.8,light rain,-21.37,55.62,"""Plantation Bed and Breakfast"
262,Havelock,US,61.0,clear sky,34.88,-76.9,Sherwood Motel
263,Camacha,PT,57.2,light intensity shower rain,33.08,-16.33,Hotel Porto Santo & Spa
264,Mahebourg,MU,77.0,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
267,Nuqui,CO,78.69,moderate rain,5.71,-77.27,Hotel Nuquimar
269,San Carlos De Bariloche,AR,57.2,few clouds,-41.15,-71.31,Hotel Patagonia
271,Uvira,CD,76.39,light rain,-3.41,29.15,Hotel Suzana
273,Darnah,LY,60.17,clear sky,32.77,22.64,زاوية الرفاعي
275,Bilma,NE,67.1,clear sky,18.69,12.92,Expeditions Ténére voyages
281,Qeshm,IR,66.2,clear sky,26.96,56.27,Kimia IV Hotel
282,Japura,ID,74.41,light rain,-0.32,102.35,Rumah mbah Jamah
284,Madhugiri,IN,67.3,few clouds,13.66,77.21,Maruthi vet Medical and Agency
285,Dingle,PH,76.57,light rain,11.0,122.67,SEGAYA PROPERTY
290,Tazmalt,DZ,50.0,scattered clouds,36.39,4.4,Hôtel Numédia
294,Luena,AO,64.99,light rain,-11.78,19.92,Hotel Kandamba
295,Sohagpur,IN,57.78,clear sky,22.7,78.2,Hotel Vatika Inn
296,Vila Franca Do Campo,PT,57.2,few clouds,37.72,-25.43,Pestana Bahia Praia
297,San Cristobal,VE,78.8,scattered clouds,7.77,-72.22,Pirineos
301,Richards Bay,ZA,74.28,scattered clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
304,Dwarka,IN,67.6,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
309,Waddan,LY,61.25,clear sky,29.16,16.14,محل الشريف محمد العايب
313,Lebu,CL,59.7,clear sky,-37.62,-73.65,Hostal Las Lilas
314,Rawson,AR,64.08,scattered clouds,-43.3,-65.1,Hotel Punta León
320,Buraydah,SA,62.6,clear sky,26.33,43.98,Mövenpick Hotel Qassim
322,Anniston,US,64.99,clear sky,33.66,-85.83,Hotel Finial
323,Antalaha,MG,74.88,scattered clouds,-14.9,50.28,Hotel Vitasoa
326,Bako,ET,73.94,overcast clouds,5.78,36.57,Arkisha Sefer
327,Santa Cruz De Tenerife,ES,64.0,fog,28.47,-16.25,Hotel Silken Atlántida Santa Cruz
328,Effingham,US,66.99,broken clouds,32.37,-81.33,Elizabeth Hobbs
330,Saint-Pierre,RE,78.8,clear sky,-21.34,55.48,Lindsey Hôtel
331,Soverato,IT,51.8,broken clouds,38.69,16.55,Hotel San Domenico
332,Santa Ana,US,64.0,scattered clouds,33.75,-117.87,Best Western Plus Orange County Airport North
336,Sulina,RO,53.29,broken clouds,45.16,29.65,Hotel Delta Est
337,Srivaikuntam,IN,77.41,light rain,8.62,77.93,Gokulam
338,Santiago Do Cacem,PT,50.0,scattered clouds,38.02,-8.69,Hotel Dom Nuno
339,Coihaique,CL,55.4,broken clouds,-45.58,-72.07,Diego De Almagro Coyhaique
341,Bajil,YE,77.99,few clouds,15.06,43.29,شبكة ماكس نت MAX WIFI
343,Najran,SA,64.4,clear sky,17.49,44.13,محمد هادي ال فطيح
344,Belsand,IN,58.21,clear sky,26.45,85.4,Pachnaur road Raza Bag Belsand
347,Jalu,LY,59.76,overcast clouds,29.03,21.55,صاحبة الفخامة
348,Esperance,AU,62.6,light rain,-33.87,121.9,Hospitality Esperance
350,Algiers,DZ,51.8,scattered clouds,36.75,3.04,Sofitel Algiers Hamma Garden
351,Asosa,ET,71.1,broken clouds,10.07,34.53,Blendana Hotel Assosa
353,Gerash,IR,51.8,clear sky,27.67,54.14,Chelpasin
354,Indapur,IN,70.48,few clouds,18.3,73.25,Hotel Open Umbrella
356,Nuevitas,CU,78.8,scattered clouds,21.55,-77.26,Hotel Caonaba
360,Alanya,TR,55.4,clear sky,36.54,32.0,Panorama Hotel
361,Subtanjalla,PE,69.8,overcast clouds,-14.02,-75.76,Hotel Las Dunas
366,Camabatela,AO,64.56,light rain,-8.19,15.38,Pensão E Restaurantes
367,Tekkali,IN,66.47,clear sky,18.62,84.23,Trinath Gantayat
369,Thaba Nchu,ZA,66.2,thunderstorm with light rain,-29.21,26.84,Real Time Guest House
372,Salamiyah,SY,50.72,clear sky,35.01,37.05,Gondolas Forum grandchildren and grandparents
374,Asfi,MA,58.69,clear sky,32.3,-9.24,Hôtel Abda
376,Pali,IN,50.65,few clouds,25.77,73.33,Seervi Hostel
379,Nyimba,ZM,73.29,overcast clouds,-14.56,30.81,Dali Dali Lodge
385,Pokhara,NP,52.52,clear sky,28.23,83.98,Hotel View Point
386,Gainesville,US,75.0,broken clouds,29.65,-82.32,Wyndham Garden Gainesville
395,Sambava,MG,76.73,broken clouds,-14.27,50.17,Melrose
399,Mizdah,LY,54.32,clear sky,31.45,12.98,فندق بنيه تحتيه
401,Bardiyah,LY,59.45,clear sky,31.76,25.09,بورتو بردية
402,Meulaboh,ID,76.84,overcast clouds,4.14,96.13,Kost Pria
403,Codrington,AU,54.93,broken clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
404,Zambezi,ZM,68.18,overcast clouds,-13.54,23.1,Royal Kutachika Lodge
407,Carnarvon,AU,77.0,scattered clouds,-24.87,113.63,Hospitality Carnarvon
412,Bandarbeyla,SO,73.83,scattered clouds,9.49,50.81,JABIR HOTEL
413,Fiumicino,IT,51.8,scattered clouds,41.77,12.23,Al Porticciolo Hotel
417,Pafos,CY,55.4,scattered clouds,34.77,32.42,Elysium Hotel
418,Estelle,US,75.99,scattered clouds,29.85,-90.11,Comfort Inn Marrero - New Orleans West
420,Gariaband,IN,60.57,few clouds,20.64,82.06,HOTEL CITY REGENCY
423,Suruc,TR,50.0,clear sky,36.98,38.42,Kumbet Otel
424,Los Llanos De Aridane,ES,66.2,broken clouds,28.66,-17.92,Valle Aridane
426,Kindu,CD,72.75,light rain,-2.95,25.95,Résidence Okanda
427,Batticaloa,LK,79.88,moderate rain,7.71,81.69,Grand Star Guest House
436,Hit,IQ,55.78,clear sky,33.64,42.83,صالون زيرو
438,Nola,IT,50.0,broken clouds,40.92,14.53,Pamaran Hotel
443,Yanam,IN,73.45,clear sky,16.73,82.22,The Regency Hotel
444,Ubaira,BR,79.83,broken clouds,-13.27,-39.66,Grupo Navarro
447,Booue,GA,76.19,moderate rain,-0.09,11.94,Splendeur de l'équateur
450,Iquique,CL,75.2,broken clouds,-20.22,-70.14,Backpacker`s Hostel Iquique
453,Galle,LK,77.77,scattered clouds,6.04,80.22,Amangalla
455,Thaba-Tseka,LS,66.61,broken clouds,-29.52,28.61,Motherland Guesthouse
460,Porto Santo,PT,57.2,light intensity shower rain,33.07,-16.34,Hotel Porto Santo & Spa
462,La Palma,US,59.0,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
464,Itacoatiara,BR,76.41,overcast clouds,-3.14,-58.44,BBB Rooms Centro Itacoatiara AM
466,Pisco,PE,69.8,overcast clouds,-13.7,-76.22,Hotel San Isidro Oficial
467,Costinesti,RO,51.8,broken clouds,43.95,28.63,Villa Mar Bella
468,Nawabganj,BD,62.56,clear sky,24.59,88.27,দা সফ্‌ট আইটি
470,Grand Gaube,MU,77.0,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
472,Ushirombo,TZ,68.32,overcast clouds,-3.49,31.96,Kigali Hotel
484,Ambanja,MG,73.54,moderate rain,-13.68,48.45,Hotel Marrakech
485,Peniche,PT,51.01,clear sky,39.36,-9.38,Hotel Star inn Peniche
487,Belas,PT,54.0,scattered clouds,38.78,-9.26,Hotel Nova Cidade
488,Manono,CD,72.77,light rain,-7.3,27.42,Hotel hewa bora
491,Rioja,AR,79.43,broken clouds,-29.41,-66.85,Hotel Libertador
492,Chabahar,IR,59.0,clear sky,25.29,60.64,هتل گدروشیا
493,Jijiga,ET,63.68,broken clouds,9.35,42.8,RAMAAS HOTEL
496,Adamas,GR,59.0,clear sky,36.73,24.43,Aphrodite of Milos
497,Abu Kamal,SY,51.84,clear sky,34.45,40.92,محطة التلفاز
500,Muros,ES,50.0,overcast clouds,42.78,-9.06,Apartment Av. Castelao
501,Anori,BR,74.89,overcast clouds,-3.77,-61.64,Novo Hotel 05 Irmaos
502,Hobyo,SO,77.25,clear sky,5.35,48.53,Halane Hotel and Restaurent
526,Kabarnet,KE,66.2,broken clouds,0.49,35.74,Valley-Inn Hotel
527,Mount Pleasant,US,64.99,haze,32.79,-79.86,Best Western Patriots Point
532,Turbat,PK,58.26,overcast clouds,26.0,63.04,Mubashar Quarters
535,Vila Do Maio,CV,78.8,scattered clouds,15.13,-23.22,Residence 'I Delfini'
536,Aguimes,ES,64.4,light intensity drizzle,27.91,-15.45,Hotel Villa de Aguimes
537,Lynn Haven,US,73.99,few clouds,30.25,-85.65,Wingate by Wyndham Panama City Area Lynn Haven
540,Hattiesburg,US,73.99,clear sky,31.33,-89.29,Quality Inn & Suites
542,Ulundi,ZA,72.59,overcast clouds,-28.34,31.42,Ekhethelo Lodge
544,Fez,MA,50.0,broken clouds,34.04,-5.0,Hotel Mounia Fès
547,Abu Dhabi,AE,69.8,clear sky,24.47,54.37,Beach Rotana
551,Puerto Carreno,CO,76.08,overcast clouds,6.19,-67.49,Casa Hotel Victoria
554,Tigzirt,DZ,51.3,light rain,36.89,4.12,Bloc D tazoumbirt (amar)
